prompt,clamp_value,word_category,word,token_id,logit_value,baseline_logit,logit_difference,baseline_type,formality,emotion
I think that,-4.0,formal_low_emotion,perhaps,4153,0.20580193400382996,0.2058122158050537,-1.0281801223754883e-05,pipeline,formal,low
I think that,-4.0,formal_low_emotion,may,754,-2.803712844848633,-2.8037004470825195,-1.239776611328125e-05,pipeline,formal,low
I think that,-4.0,formal_low_emotion,however,2480,-3.915538787841797,-3.915515661239624,-2.3126602172851562e-05,pipeline,formal,low
I think that,-4.0,formal_low_emotion,therefore,4320,-4.2666707038879395,-4.266677379608154,6.67572021484375e-06,pipeline,formal,low
I think that,-4.0,formal_low_emotion,consequently,23995,-5.017667770385742,-5.0176591873168945,-8.58306884765625e-06,pipeline,formal,low
I think that,-4.0,formal_low_emotion,moreover,541,-2.841914653778076,-2.8419508934020996,3.62396240234375e-05,pipeline,formal,low
I think that,-4.0,formal_low_emotion,accordingly,17159,-7.259653091430664,-7.259634017944336,-1.9073486328125e-05,pipeline,formal,low
I think that,-4.0,formal_low_emotion,furthermore,2134,-3.0227222442626953,-3.0227437019348145,2.1457672119140625e-05,pipeline,formal,low
I think that,-4.0,formal_high_emotion,profoundly,29160,-7.630039215087891,-7.630092144012451,5.2928924560546875e-05,pipeline,formal,high
I think that,-4.0,formal_high_emotion,devastated,27668,-8.464812278747559,-8.46481704711914,4.76837158203125e-06,pipeline,formal,high
I think that,-4.0,formal_high_emotion,magnificent,16773,-6.4543609619140625,-6.454354286193848,-6.67572021484375e-06,pipeline,formal,high
I think that,-4.0,formal_high_emotion,appalling,573,-4.783777236938477,-4.783796787261963,1.9550323486328125e-05,pipeline,formal,high
I think that,-4.0,formal_high_emotion,extraordinary,10035,-4.59145450592041,-4.591492176055908,3.7670135498046875e-05,pipeline,formal,high
I think that,-4.0,formal_high_emotion,overwhelming,11734,-5.379144668579102,-5.379208087921143,6.341934204101562e-05,pipeline,formal,high
I think that,-4.0,formal_high_emotion,catastrophic,24769,-7.234734058380127,-7.234724044799805,-1.0013580322265625e-05,pipeline,formal,high
I think that,-4.0,formal_high_emotion,triumphant,15511,-4.358204364776611,-4.358185768127441,-1.8596649169921875e-05,pipeline,formal,high
I think that,-4.0,casual_low_emotion,yeah,12191,-5.2218499183654785,-5.221872329711914,2.2411346435546875e-05,pipeline,casual,low
I think that,-4.0,casual_low_emotion,okay,10989,-4.0888671875,-4.08888053894043,1.33514404296875e-05,pipeline,casual,low
I think that,-4.0,casual_low_emotion,kinda,21775,-3.786550998687744,-3.7865092754364014,-4.172325134277344e-05,pipeline,casual,low
I think that,-4.0,casual_low_emotion,basically,8087,-4.468164443969727,-4.468190670013428,2.6226043701171875e-05,pipeline,casual,low
I think that,-4.0,casual_low_emotion,anyway,8668,-1.9663963317871094,-1.9663965702056885,2.384185791015625e-07,pipeline,casual,low
I think that,-4.0,casual_low_emotion,whatever,5193,-1.5782153606414795,-1.578244686126709,2.9325485229492188e-05,pipeline,casual,low
I think that,-4.0,casual_low_emotion,guess,5310,-7.473897933959961,-7.473904132843018,6.198883056640625e-06,pipeline,casual,low
I think that,-4.0,casual_low_emotion,stuff,4269,-4.813106536865234,-4.813152313232422,4.57763671875e-05,pipeline,casual,low
I think that,-4.0,casual_high_emotion,OMG,21978,-4.0251641273498535,-4.02517032623291,6.198883056640625e-06,pipeline,casual,high
I think that,-4.0,casual_high_emotion,totally,7110,-5.099514961242676,-5.0995025634765625,-1.239776611328125e-05,pipeline,casual,high
I think that,-4.0,casual_high_emotion,literally,8642,-3.7345361709594727,-3.7345478534698486,1.1682510375976562e-05,pipeline,casual,high
I think that,-4.0,casual_high_emotion,seriously,7580,-5.117832183837891,-5.117851734161377,1.9550323486328125e-05,pipeline,casual,high
I think that,-4.0,casual_high_emotion,honestly,14483,-2.793126344680786,-2.7931108474731445,-1.5497207641601562e-05,pipeline,casual,high
I think that,-4.0,casual_high_emotion,really,1196,-1.3376870155334473,-1.337662696838379,-2.4318695068359375e-05,pipeline,casual,high
I think that,-4.0,casual_high_emotion,absolutely,6270,-4.67057466506958,-4.670577526092529,2.86102294921875e-06,pipeline,casual,high
I think that,-4.0,casual_high_emotion,incredibly,9301,-5.1052327156066895,-5.105256080627441,2.3365020751953125e-05,pipeline,casual,high
I think that,0.0,formal_low_emotion,perhaps,4153,0.20581376552581787,0.2058122158050537,1.5497207641601562e-06,pipeline,formal,low
I think that,0.0,formal_low_emotion,may,754,-2.803701877593994,-2.8037004470825195,-1.430511474609375e-06,pipeline,formal,low
