word_category,clamp_value,mean_difference,std_difference,median_difference,num_words,num_prompts,total_observations
casual_high_emotion,-4.0,2.4621933698654173e-05,0.0001285419535817382,4.5299530029296875e-06,8,5,40
casual_high_emotion,0.0,5.690008401870728e-06,2.580004335376962e-05,1.430511474609375e-06,8,5,40
casual_high_emotion,1.0,0.0,0.0,0.0,8,5,40
casual_high_emotion,4.0,-1.9130855798721312e-05,7.577171775198474e-05,-7.510185241699219e-06,8,5,40
casual_low_emotion,-4.0,3.0366331338882445e-05,0.00010524041897442344,2.491474151611328e-05,8,5,40
casual_low_emotion,0.0,6.382167339324951e-06,2.004582564669407e-05,5.364418029785156e-06,8,5,40
casual_low_emotion,1.0,0.0,0.0,0.0,8,5,40
casual_low_emotion,4.0,-2.521127462387085e-05,5.1637552900901285e-05,-1.4543533325195312e-05,8,5,40
formal_high_emotion,-4.0,1.5651434659957884e-05,0.00014816716465207498,2.86102294921875e-05,8,5,40
formal_high_emotion,0.0,3.2410025596618652e-06,3.0820100819286865e-05,5.245208740234375e-06,8,5,40
formal_high_emotion,1.0,0.0,0.0,0.0,8,5,40
formal_high_emotion,4.0,-1.0811537504196166e-05,9.711565347672058e-05,-8.106231689453125e-06,8,5,40
formal_low_emotion,-4.0,2.016723155975342e-05,8.724361754472452e-05,1.0967254638671875e-05,8,5,40
formal_low_emotion,0.0,3.950297832489014e-06,1.8874825032444038e-05,3.5762786865234375e-06,8,5,40
formal_low_emotion,1.0,0.0,0.0,0.0,8,5,40
formal_low_emotion,4.0,-1.0028481483459473e-05,5.528996902057923e-05,-7.3909759521484375e-06,8,5,40
