prompt,word_category,word,token_id,baseline_logit,mean_difference,std_difference,min_difference,max_difference,range_difference,max_abs_difference,mean_abs_difference,clamping_effect,num_clamp_conditions,target_features
The best approach would be,formal_high_emotion,catastrophic,24769,-9.788272857666016,3.0040740966796875e-05,0.00012896219403490003,-0.00014019012451171875,0.00022125244140625,0.00036144256591796875,0.00022125244140625,0.00010013580322265625,-0.00036144256591796875,4,
The best approach would be,formal_high_emotion,appalling,573,-4.261016368865967,2.956390380859375e-05,0.00010758412179127553,-0.00011205673217773438,0.00018835067749023438,0.00030040740966796875,0.00018835067749023438,8.559226989746094e-05,-0.00030040740966796875,4,
The best approach would be,casual_low_emotion,yeah,12191,-6.400968074798584,2.6345252990722656e-05,9.363045478343786e-05,-9.584426879882812e-05,0.00016546249389648438,0.0002613067626953125,0.00016546249389648438,7.426738739013672e-05,-0.0002613067626953125,4,
The best approach would be,casual_low_emotion,kinda,21775,-4.753157615661621,2.4437904357910156e-05,8.912989280840356e-05,-9.250640869140625e-05,0.000156402587890625,0.00024890899658203125,0.000156402587890625,7.069110870361328e-05,-0.00024890899658203125,4,
The best approach would be,casual_high_emotion,totally,7110,-3.8732125759124756,1.722574234008789e-05,7.701794287575788e-05,-8.559226989746094e-05,0.0001304149627685547,0.00021600723266601562,0.0001304149627685547,6.002187728881836e-05,-0.00021600723266601562,4,
The best approach would be,casual_high_emotion,absolutely,6270,-4.405916213989258,2.0265579223632812e-05,7.545900947339555e-05,-8.0108642578125e-05,0.00013065338134765625,0.00021076202392578125,0.00013065338134765625,6.031990051269531e-05,-0.00021076202392578125,4,
The best approach would be,casual_low_emotion,okay,10989,-6.896812438964844,1.8596649169921875e-05,7.261871421716912e-05,-7.724761962890625e-05,0.000125885009765625,0.00020313262939453125,0.000125885009765625,5.7220458984375e-05,-0.00020313262939453125,4,
The best approach would be,formal_high_emotion,profoundly,29160,-12.648835182189941,-1.71661376953125e-05,5.6512747635163146e-05,-0.0001010894775390625,5.626678466796875e-05,0.00015735626220703125,0.0001010894775390625,4.5299530029296875e-05,0.00015735626220703125,4,
The situation is,formal_high_emotion,extraordinary,10035,-0.2890723943710327,-1.5616416931152344e-05,5.621909336885979e-05,-9.78708267211914e-05,5.900859832763672e-05,0.00015687942504882812,9.78708267211914e-05,4.51207160949707e-05,0.00015687942504882812,4,
The best approach would be,formal_low_emotion,accordingly,17159,-7.918730735778809,1.430511474609375e-05,4.892172633621447e-05,-4.9591064453125e-05,8.678436279296875e-05,0.00013637542724609375,8.678436279296875e-05,3.910064697265625e-05,-0.00013637542724609375,4,
I think that,casual_high_emotion,honestly,14483,-2.7931108474731445,-1.1801719665527344e-05,4.762840042803223e-05,-8.344650268554688e-05,4.982948303222656e-05,0.00013327598571777344,8.344650268554688e-05,3.6716461181640625e-05,0.00013327598571777344,4,
I think that,formal_high_emotion,appalling,573,-4.783796787261963,1.2993812561035156e-05,4.6467010389878506e-05,-4.7206878662109375e-05,8.249282836914062e-05,0.00012969970703125,8.249282836914062e-05,3.6597251892089844e-05,-0.00012969970703125,4,
The situation is,formal_low_emotion,perhaps,4153,0.45963501930236816,-1.2442469596862793e-05,4.4585775837596066e-05,-7.915496826171875e-05,4.5299530029296875e-05,0.00012445449829101562,7.915496826171875e-05,3.509223461151123e-05,0.00012445449829101562,4,
I think that,casual_low_emotion,yeah,12191,-5.221872329711914,-1.2993812561035156e-05,4.416523188384628e-05,-8.0108642578125e-05,4.291534423828125e-05,0.00012302398681640625,8.0108642578125e-05,3.445148468017578e-05,0.00012302398681640625,4,
The best approach would be,casual_high_emotion,OMG,21978,-6.210175037384033,1.4781951904296875e-05,4.4162175004344195e-05,-4.1961669921875e-05,8.058547973632812e-05,0.00012254714965820312,8.058547973632812e-05,3.5762786865234375e-05,-0.00012254714965820312,4,
The best approach would be,formal_low_emotion,consequently,23995,-8.180360794067383,-1.1205673217773438e-05,3.865837975484104e-05,-6.961822509765625e-05,3.814697265625e-05,0.00010776519775390625,6.961822509765625e-05,3.0279159545898438e-05,0.00010776519775390625,4,
I think that,casual_low_emotion,okay,10989,-4.08888053894043,-9.179115295410156e-06,3.766919237477272e-05,-6.628036499023438e-05,3.910064697265625e-05,0.00010538101196289062,6.628036499023438e-05,2.872943878173828e-05,0.00010538101196289062,4,
I think that,casual_high_emotion,totally,7110,-5.0995025634765625,-7.867813110351562e-06,3.669710392158219e-05,-6.198883056640625e-05,4.100799560546875e-05,0.000102996826171875,6.198883056640625e-05,2.8371810913085938e-05,0.000102996826171875,4,
It seems to me that,formal_high_emotion,overwhelming,11734,-7.026409149169922,1.1682510375976562e-05,3.6373487239819426e-05,-3.528594970703125e-05,6.580352783203125e-05,0.0001010894775390625,6.580352783203125e-05,2.9325485229492188e-05,-0.0001010894775390625,4,
The best approach would be,casual_high_emotion,seriously,7580,-7.173571586608887,9.179115295410156e-06,3.5653543514348395e-05,-3.8623809814453125e-05,6.103515625e-05,9.965896606445312e-05,6.103515625e-05,2.849102020263672e-05,-9.965896606445312e-05,4,
I think that,casual_high_emotion,really,1196,-1.337662696838379,-1.043081283569336e-05,3.50400797552234e-05,-6.258487701416016e-05,3.504753112792969e-05,9.763240814208984e-05,6.258487701416016e-05,2.7954578399658203e-05,9.763240814208984e-05,4,
It seems to me that,formal_high_emotion,appalling,573,-4.520817756652832,9.655952453613281e-06,3.4845631855815224e-05,-3.62396240234375e-05,6.103515625e-05,9.72747802734375e-05,6.103515625e-05,2.777576446533203e-05,-9.72747802734375e-05,4,
The situation is,casual_low_emotion,okay,10989,-0.139857679605484,9.216368198394775e-06,3.4309329862354214e-05,-3.62396240234375e-05,5.9604644775390625e-05,9.584426879882812e-05,5.9604644775390625e-05,2.7336180210113525e-05,-9.584426879882812e-05,4,
The best approach would be,casual_low_emotion,stuff,4269,-6.817241668701172,9.298324584960938e-06,3.416214619474674e-05,-3.62396240234375e-05,5.91278076171875e-05,9.5367431640625e-05,5.91278076171875e-05,2.7418136596679688e-05,-9.5367431640625e-05,4,
The best approach would be,formal_high_emotion,overwhelming,11734,-5.396991729736328,-9.179115295410156e-06,3.2966272375642856e-05,-5.817413330078125e-05,3.3855438232421875e-05,9.202957153320312e-05,5.817413330078125e-05,2.6106834411621094e-05,9.202957153320312e-05,4,
I think that,formal_low_emotion,accordingly,17159,-7.259634017944336,-1.1563301086425781e-05,3.2225117661746195e-05,-6.008148193359375e-05,2.9087066650390625e-05,8.916854858398438e-05,6.008148193359375e-05,2.6106834411621094e-05,8.916854858398438e-05,4,
It seems to me that,casual_high_emotion,really,1196,-4.76451301574707,-8.58306884765625e-06,2.875885506108956e-05,-5.1021575927734375e-05,2.9087066650390625e-05,8.0108642578125e-05,5.1021575927734375e-05,2.3126602172851562e-05,8.0108642578125e-05,4,
The best approach would be,casual_low_emotion,basically,8087,-1.9835700988769531,6.467103958129883e-06,2.8484332599606443e-05,-3.123283386230469e-05,4.863739013671875e-05,7.987022399902344e-05,4.863739013671875e-05,2.2083520889282227e-05,-7.987022399902344e-05,4,
The best approach would be,formal_high_emotion,magnificent,16773,-10.788664817810059,-1.0251998901367188e-05,2.8637039021254923e-05,-5.435943603515625e-05,2.47955322265625e-05,7.915496826171875e-05,5.435943603515625e-05,2.2649765014648438e-05,7.915496826171875e-05,4,
I think that,casual_high_emotion,OMG,21978,-4.02517032623291,-9.775161743164062e-06,2.8629098074406584e-05,-5.435943603515625e-05,2.47955322265625e-05,7.915496826171875e-05,5.435943603515625e-05,2.2172927856445312e-05,7.915496826171875e-05,4,
It seems to me that,casual_low_emotion,yeah,12191,-6.120282173156738,7.748603820800781e-06,2.7517212282317197e-05,-2.86102294921875e-05,4.8160552978515625e-05,7.677078247070312e-05,4.8160552978515625e-05,2.205371856689453e-05,-7.677078247070312e-05,4,
The situation is,formal_low_emotion,may,754,0.1397370994091034,7.748603820800781e-06,2.7448157339127884e-05,-2.682209014892578e-05,4.9680471420288086e-05,7.650256156921387e-05,4.9680471420288086e-05,2.1159648895263672e-05,-7.650256156921387e-05,4,
The situation is,casual_low_emotion,basically,8087,-1.2645151615142822,7.987022399902344e-06,2.629341877808708e-05,-2.6464462280273438e-05,4.673004150390625e-05,7.319450378417969e-05,4.673004150390625e-05,2.1219253540039062e-05,-7.319450378417969e-05,4,
The situation is,formal_low_emotion,consequently,23995,-3.9954416751861572,-5.185604095458984e-06,2.543344929551635e-05,-4.029273986816406e-05,3.075599670410156e-05,7.104873657226562e-05,4.029273986816406e-05,2.0563602447509766e-05,7.104873657226562e-05,4,
The best approach would be,casual_low_emotion,anyway,8668,-3.9833431243896484,7.331371307373047e-06,2.5424507777274955e-05,-2.6702880859375e-05,4.410743713378906e-05,7.081031799316406e-05,4.410743713378906e-05,2.0682811737060547e-05,-7.081031799316406e-05,4,
The best approach would be,formal_low_emotion,however,2480,-4.395817756652832,-6.556510925292969e-06,2.5074505880768263e-05,-4.3392181396484375e-05,2.6702880859375e-05,7.009506225585938e-05,4.3392181396484375e-05,1.990795135498047e-05,7.009506225585938e-05,4,
It seems to me that,formal_high_emotion,extraordinary,10035,-6.20956563949585,-5.364418029785156e-06,2.383321366961114e-05,-4.1484832763671875e-05,2.5272369384765625e-05,6.67572021484375e-05,4.1484832763671875e-05,1.800060272216797e-05,6.67572021484375e-05,4,
The best approach would be,formal_low_emotion,therefore,4320,-4.262266635894775,6.9141387939453125e-06,2.354556994743301e-05,-2.5272369384765625e-05,4.00543212890625e-05,6.532669067382812e-05,4.00543212890625e-05,1.9550323486328125e-05,-6.532669067382812e-05,4,
