prompt,clamp_value,word_category,word,token_id,logit_value,baseline_logit,logit_difference,baseline_type,formality,emotion
I think that,-4.0,formal_low_emotion,perhaps,4153,0.20583075284957886,0.2058122158050537,1.8537044525146484e-05,pipeline,formal,low
I think that,-4.0,formal_low_emotion,may,754,-2.8037140369415283,-2.8037004470825195,-1.3589859008789062e-05,pipeline,formal,low
I think that,-4.0,formal_low_emotion,however,2480,-3.915553331375122,-3.915515661239624,-3.7670135498046875e-05,pipeline,formal,low
I think that,-4.0,formal_low_emotion,therefore,4320,-4.266722202301025,-4.266677379608154,-4.482269287109375e-05,pipeline,formal,low
I think that,-4.0,formal_low_emotion,consequently,23995,-5.017658710479736,-5.0176591873168945,4.76837158203125e-07,pipeline,formal,low
I think that,-4.0,formal_low_emotion,moreover,541,-2.8419458866119385,-2.8419508934020996,5.0067901611328125e-06,pipeline,formal,low
I think that,-4.0,formal_low_emotion,accordingly,17159,-7.2596940994262695,-7.259634017944336,-6.008148193359375e-05,pipeline,formal,low
I think that,-4.0,formal_low_emotion,furthermore,2134,-3.0227532386779785,-3.0227437019348145,-9.5367431640625e-06,pipeline,formal,low
I think that,-4.0,formal_high_emotion,profoundly,29160,-7.630064010620117,-7.630092144012451,2.8133392333984375e-05,pipeline,formal,high
I think that,-4.0,formal_high_emotion,devastated,27668,-8.464855194091797,-8.46481704711914,-3.814697265625e-05,pipeline,formal,high
I think that,-4.0,formal_high_emotion,magnificent,16773,-6.454324722290039,-6.454354286193848,2.956390380859375e-05,pipeline,formal,high
I think that,-4.0,formal_high_emotion,appalling,573,-4.783714294433594,-4.783796787261963,8.249282836914062e-05,pipeline,formal,high
I think that,-4.0,formal_high_emotion,extraordinary,10035,-4.59153413772583,-4.591492176055908,-4.1961669921875e-05,pipeline,formal,high
I think that,-4.0,formal_high_emotion,overwhelming,11734,-5.379217624664307,-5.379208087921143,-9.5367431640625e-06,pipeline,formal,high
I think that,-4.0,formal_high_emotion,catastrophic,24769,-7.234720230102539,-7.234724044799805,3.814697265625e-06,pipeline,formal,high
I think that,-4.0,formal_high_emotion,triumphant,15511,-4.358211517333984,-4.358185768127441,-2.574920654296875e-05,pipeline,formal,high
I think that,-4.0,casual_low_emotion,yeah,12191,-5.221952438354492,-5.221872329711914,-8.0108642578125e-05,pipeline,casual,low
