prompt,clamp_value,word_category,word,token_id,logit_value,target_features
I think that,-4.0,formal_low_emotion,perhaps,4153,0.20591872930526733,[4022]
I think that,-4.0,formal_low_emotion,may,754,-2.803450107574463,[4022]
I think that,-4.0,formal_low_emotion,however,2480,-3.9156017303466797,[4022]
I think that,-4.0,formal_low_emotion,therefore,4320,-4.266939640045166,[4022]
I think that,-4.0,formal_low_emotion,consequently,23995,-5.01754093170166,[4022]
I think that,-4.0,formal_low_emotion,moreover,541,-2.8414242267608643,[4022]
I think that,-4.0,formal_low_emotion,accordingly,17159,-7.258631706237793,[4022]
I think that,-4.0,formal_low_emotion,furthermore,2134,-3.0232338905334473,[4022]
I think that,-4.0,formal_high_emotion,profoundly,29160,-7.629355430603027,[4022]
I think that,-4.0,formal_high_emotion,devastated,27668,-8.464569091796875,[4022]
I think that,-4.0,formal_high_emotion,magnificent,16773,-6.453421592712402,[4022]
I think that,-4.0,formal_high_emotion,appalling,573,-4.782321453094482,[4022]
I think that,-4.0,formal_high_emotion,extraordinary,10035,-4.590701580047607,[4022]
I think that,-4.0,formal_high_emotion,overwhelming,11734,-5.37772274017334,[4022]
I think that,-4.0,formal_high_emotion,catastrophic,24769,-7.234567165374756,[4022]
I think that,-4.0,formal_high_emotion,triumphant,15511,-4.357224941253662,[4022]
I think that,-4.0,casual_low_emotion,yeah,12191,-5.2218804359436035,[4022]
I think that,-4.0,casual_low_emotion,okay,10989,-4.088532447814941,[4022]
I think that,-4.0,casual_low_emotion,kinda,21775,-3.7854766845703125,[4022]
I think that,-4.0,casual_low_emotion,basically,8087,-4.467823028564453,[4022]
I think that,-4.0,casual_low_emotion,anyway,8668,-1.9670813083648682,[4022]
I think that,-4.0,casual_low_emotion,whatever,5193,-1.577688217163086,[4022]
I think that,-4.0,casual_low_emotion,guess,5310,-7.473517417907715,[4022]
I think that,-4.0,casual_low_emotion,stuff,4269,-4.8123273849487305,[4022]
I think that,-4.0,casual_high_emotion,OMG,21978,-4.025395393371582,[4022]
I think that,-4.0,casual_high_emotion,totally,7110,-5.099935054779053,[4022]
I think that,-4.0,casual_high_emotion,literally,8642,-3.734683036804199,[4022]
I think that,-4.0,casual_high_emotion,seriously,7580,-5.117430210113525,[4022]
I think that,-4.0,casual_high_emotion,honestly,14483,-2.7939560413360596,[4022]
I think that,-4.0,casual_high_emotion,really,1196,-1.3376288414001465,[4022]
I think that,-4.0,casual_high_emotion,absolutely,6270,-4.670932769775391,[4022]
I think that,-4.0,casual_high_emotion,incredibly,9301,-5.104194641113281,[4022]
I think that,0.0,formal_low_emotion,perhaps,4153,0.20586353540420532,[4022]
I think that,0.0,formal_low_emotion,may,754,-2.803626537322998,[4022]
I think that,0.0,formal_low_emotion,however,2480,-3.915534496307373,[4022]
I think that,0.0,formal_low_emotion,therefore,4320,-4.266705513000488,[4022]
I think that,0.0,formal_low_emotion,consequently,23995,-5.017617702484131,[4022]
I think that,0.0,formal_low_emotion,moreover,541,-2.8418374061584473,[4022]
I think that,0.0,formal_low_emotion,accordingly,17159,-7.259448051452637,[4022]
I think that,0.0,formal_low_emotion,furthermore,2134,-3.022843360900879,[4022]
I think that,0.0,formal_high_emotion,profoundly,29160,-7.629947662353516,[4022]
I think that,0.0,formal_high_emotion,devastated,27668,-8.464714050292969,[4022]
I think that,0.0,formal_high_emotion,magnificent,16773,-6.454146385192871,[4022]
I think that,0.0,formal_high_emotion,appalling,573,-4.783510208129883,[4022]
I think that,0.0,formal_high_emotion,extraordinary,10035,-4.591330528259277,[4022]
I think that,0.0,formal_high_emotion,overwhelming,11734,-5.378931522369385,[4022]
I think that,0.0,formal_high_emotion,catastrophic,24769,-7.2346601486206055,[4022]
I think that,0.0,formal_high_emotion,triumphant,15511,-4.357963562011719,[4022]
I think that,0.0,casual_low_emotion,yeah,12191,-5.221879482269287,[4022]
I think that,0.0,casual_low_emotion,okay,10989,-4.088789463043213,[4022]
I think that,0.0,casual_low_emotion,kinda,21775,-3.786283493041992,[4022]
I think that,0.0,casual_low_emotion,basically,8087,-4.468075752258301,[4022]
I think that,0.0,casual_low_emotion,anyway,8668,-1.966485857963562,[4022]
I think that,0.0,casual_low_emotion,whatever,5193,-1.578130841255188,[4022]
I think that,0.0,casual_low_emotion,guess,5310,-7.473812580108643,[4022]
I think that,0.0,casual_low_emotion,stuff,4269,-4.812952518463135,[4022]
I think that,0.0,casual_high_emotion,OMG,21978,-4.025177001953125,[4022]
I think that,0.0,casual_high_emotion,totally,7110,-5.099571228027344,[4022]
I think that,0.0,casual_high_emotion,literally,8642,-3.734553813934326,[4022]
I think that,0.0,casual_high_emotion,seriously,7580,-5.117761611938477,[4022]
I think that,0.0,casual_high_emotion,honestly,14483,-2.793229103088379,[4022]
I think that,0.0,casual_high_emotion,really,1196,-1.3376463651657104,[4022]
I think that,0.0,casual_high_emotion,absolutely,6270,-4.670630931854248,[4022]
I think that,0.0,casual_high_emotion,incredibly,9301,-5.105029106140137,[4022]
I think that,4.0,formal_low_emotion,perhaps,4153,0.2056061029434204,[4022]
I think that,4.0,formal_low_emotion,may,754,-2.8039278984069824,[4022]
I think that,4.0,formal_low_emotion,however,2480,-3.9155216217041016,[4022]
I think that,4.0,formal_low_emotion,therefore,4320,-4.266647815704346,[4022]
I think that,4.0,formal_low_emotion,consequently,23995,-5.017840385437012,[4022]
I think that,4.0,formal_low_emotion,moreover,541,-2.842299461364746,[4022]
I think that,4.0,formal_low_emotion,accordingly,17159,-7.260219573974609,[4022]
I think that,4.0,formal_low_emotion,furthermore,2134,-3.022489070892334,[4022]
I think that,4.0,formal_high_emotion,profoundly,29160,-7.630476474761963,[4022]
I think that,4.0,formal_high_emotion,devastated,27668,-8.465215682983398,[4022]
I think that,4.0,formal_high_emotion,magnificent,16773,-6.455025672912598,[4022]
I think that,4.0,formal_high_emotion,appalling,573,-4.784695625305176,[4022]
I think that,4.0,formal_high_emotion,extraordinary,10035,-4.592020034790039,[4022]
I think that,4.0,formal_high_emotion,overwhelming,11734,-5.380088806152344,[4022]
I think that,4.0,formal_high_emotion,catastrophic,24769,-7.234955787658691,[4022]
I think that,4.0,formal_high_emotion,triumphant,15511,-4.358911514282227,[4022]
I think that,4.0,casual_low_emotion,yeah,12191,-5.221902847290039,[4022]
I think that,4.0,casual_low_emotion,okay,10989,-4.089203357696533,[4022]
I think that,4.0,casual_low_emotion,kinda,21775,-3.787220001220703,[4022]
I think that,4.0,casual_low_emotion,basically,8087,-4.468575954437256,[4022]
I think that,4.0,casual_low_emotion,anyway,8668,-1.9661943912506104,[4022]
I think that,4.0,casual_low_emotion,whatever,5193,-1.5786986351013184,[4022]
I think that,4.0,casual_low_emotion,guess,5310,-7.474169731140137,[4022]
I think that,4.0,casual_low_emotion,stuff,4269,-4.813800811767578,[4022]
I think that,4.0,casual_high_emotion,OMG,21978,-4.02522611618042,[4022]
I think that,4.0,casual_high_emotion,totally,7110,-5.099331378936768,[4022]
I think that,4.0,casual_high_emotion,literally,8642,-3.7346177101135254,[4022]
I think that,4.0,casual_high_emotion,seriously,7580,-5.1180830001831055,[4022]
I think that,4.0,casual_high_emotion,honestly,14483,-2.792755126953125,[4022]
I think that,4.0,casual_high_emotion,really,1196,-1.3376789093017578,[4022]
I think that,4.0,casual_high_emotion,absolutely,6270,-4.670492649078369,[4022]
I think that,4.0,casual_high_emotion,incredibly,9301,-5.105982303619385,[4022]
The situation is,-4.0,formal_low_emotion,perhaps,4153,0.46035027503967285,[4022]
The situation is,-4.0,formal_low_emotion,may,754,0.1396266520023346,[4022]
The situation is,-4.0,formal_low_emotion,however,2480,0.18529224395751953,[4022]
The situation is,-4.0,formal_low_emotion,therefore,4320,-1.030019760131836,[4022]
The situation is,-4.0,formal_low_emotion,consequently,23995,-3.996137857437134,[4022]
The situation is,-4.0,formal_low_emotion,moreover,541,2.6563634872436523,[4022]
The situation is,-4.0,formal_low_emotion,accordingly,17159,-5.581843852996826,[4022]
The situation is,-4.0,formal_low_emotion,furthermore,2134,4.211437702178955,[4022]
The situation is,-4.0,formal_high_emotion,profoundly,29160,-4.747648239135742,[4022]
The situation is,-4.0,formal_high_emotion,devastated,27668,-3.7239010334014893,[4022]
The situation is,-4.0,formal_high_emotion,magnificent,16773,-6.091521739959717,[4022]
The situation is,-4.0,formal_high_emotion,appalling,573,-0.3458749055862427,[4022]
The situation is,-4.0,formal_high_emotion,extraordinary,10035,-0.28871452808380127,[4022]
The situation is,-4.0,formal_high_emotion,overwhelming,11734,0.3398088216781616,[4022]
The situation is,-4.0,formal_high_emotion,catastrophic,24769,-1.1115435361862183,[4022]
The situation is,-4.0,formal_high_emotion,triumphant,15511,-6.297709941864014,[4022]
The situation is,-4.0,casual_low_emotion,yeah,12191,-5.948774337768555,[4022]
The situation is,-4.0,casual_low_emotion,okay,10989,-0.1393795907497406,[4022]
The situation is,-4.0,casual_low_emotion,kinda,21775,-1.6267666816711426,[4022]
The situation is,-4.0,casual_low_emotion,basically,8087,-1.2638654708862305,[4022]
The situation is,-4.0,casual_low_emotion,anyway,8668,-2.029858112335205,[4022]
The situation is,-4.0,casual_low_emotion,whatever,5193,-7.15354061126709,[4022]
The situation is,-4.0,casual_low_emotion,guess,5310,-2.4482407569885254,[4022]
The situation is,-4.0,casual_low_emotion,stuff,4269,-6.041695594787598,[4022]
The situation is,-4.0,casual_high_emotion,OMG,21978,-1.6251914501190186,[4022]
The situation is,-4.0,casual_high_emotion,totally,7110,1.1132863759994507,[4022]
The situation is,-4.0,casual_high_emotion,literally,8642,0.32943081855773926,[4022]
The situation is,-4.0,casual_high_emotion,seriously,7580,0.14998474717140198,[4022]
