prompt,word_category,word,token_id,baseline_logit,mean_difference,std_difference,min_difference,max_difference,range_difference,max_abs_difference,mean_abs_difference,clamping_effect,num_clamp_conditions,target_features
The best approach would be,formal_high_emotion,magnificent,16773,-10.788664817810059,0.0004329681396484375,0.0017174508561620303,-0.0017271041870117188,0.0024747848510742188,0.0042018890380859375,0.0024747848510742188,0.0015843709309895833,-0.0042018890380859375,3,
The best approach would be,formal_high_emotion,overwhelming,11734,-5.396991729736328,0.0006642341613769531,0.0015750782824543832,-0.00121307373046875,0.0026412010192871094,0.0038542747497558594,0.0026412010192871094,0.0014729499816894531,-0.0038542747497558594,3,
The best approach would be,formal_high_emotion,catastrophic,24769,-9.788272857666016,-0.00010522206624348958,0.0014017854009789163,-0.0020465850830078125,0.00121307373046875,0.0032596588134765625,0.0020465850830078125,0.001259167989095052,-0.0032596588134765625,3,
The best approach would be,formal_high_emotion,extraordinary,10035,-8.896245956420898,0.00034491221110026043,0.001312728991836005,-0.00130462646484375,0.0019073486328125,0.00321197509765625,0.0019073486328125,0.0012146631876627605,-0.00321197509765625,3,
The best approach would be,casual_low_emotion,okay,10989,-6.896812438964844,0.00035699208577473957,0.001263156502527638,-0.00127410888671875,0.0018033981323242188,0.0030775070190429688,0.0018033981323242188,0.0012063980102539062,-0.0030775070190429688,3,
The best approach would be,formal_low_emotion,furthermore,2134,-3.8751513957977295,-0.0005540053049723307,0.0012328338065407296,-0.0021228790283203125,0.0008890628814697266,0.003011941909790039,0.0021228790283203125,0.0011467138926188152,0.003011941909790039,3,
The best approach would be,casual_high_emotion,incredibly,9301,-8.792519569396973,0.00025971730550130207,0.0011695231649983813,-0.0012521743774414062,0.0015964508056640625,0.0028486251831054688,0.0015964508056640625,0.001094500223795573,-0.0028486251831054688,3,
The best approach would be,formal_low_emotion,therefore,4320,-4.262266635894775,-6.357828776041667e-05,0.001173428612264043,-0.0017018318176269531,0.0009846687316894531,0.0026865005493164062,0.0017018318176269531,0.0010709762573242188,-0.0026865005493164062,3,
The best approach would be,casual_low_emotion,yeah,12191,-6.400968074798584,0.00019311904907226562,0.0011064991615004614,-0.0012645721435546875,0.0014147758483886719,0.0026793479919433594,0.0014147758483886719,0.0010361671447753906,-0.0026793479919433594,3,
The best approach would be,casual_high_emotion,honestly,14483,-3.365665912628174,0.00045935312906901043,0.0010901863153133064,-0.0008153915405273438,0.0018477439880371094,0.002663135528564453,0.0018477439880371094,0.001002947489420573,-0.002663135528564453,3,
The best approach would be,casual_high_emotion,literally,8642,-2.0676002502441406,0.0006639957427978516,0.001041538014213116,-0.0003216266632080078,0.0021047592163085938,0.0024263858795166016,0.0021047592163085938,0.0008784135182698568,-0.0024263858795166016,3,
I think that,formal_high_emotion,appalling,573,-4.783796787261963,0.00028769175211588543,0.0009692520655810357,-0.0008988380432128906,0.0014753341674804688,0.0023741722106933594,0.0014753341674804688,0.0008869171142578125,-0.0023741722106933594,3,
I think that,formal_high_emotion,overwhelming,11734,-5.379208087921143,0.000293731689453125,0.0009660186545688301,-0.0008807182312011719,0.0014853477478027344,0.0023660659790039062,0.0014853477478027344,0.0008808771769205729,-0.0023660659790039062,3,
The best approach would be,formal_high_emotion,appalling,573,-4.261016368865967,-0.0004340807596842448,0.0008589552561460786,-0.0016188621520996094,0.0003905296325683594,0.0020093917846679688,0.0016188621520996094,0.000694433848063151,0.0020093917846679688,3,
My opinion on this is,casual_high_emotion,OMG,21978,-4.685068130493164,-0.0002752939860026042,0.0007491236030804493,-0.0011982917785644531,0.0006365776062011719,0.001834869384765625,0.0011982917785644531,0.0006996790568033854,0.001834869384765625,3,
I think that,casual_high_emotion,incredibly,9301,-5.105256080627441,0.00018739700317382812,0.0007303465350410364,-0.0007262229919433594,0.0010614395141601562,0.0017876625061035156,0.0010614395141601562,0.000671545664469401,-0.0017876625061035156,3,
The situation is,casual_low_emotion,yeah,12191,-5.949758529663086,0.00015020370483398438,0.0007167813666686522,-0.0007658004760742188,0.00098419189453125,0.0017499923706054688,0.00098419189453125,0.0006607373555501302,-0.0017499923706054688,3,
I think that,casual_low_emotion,kinda,21775,-3.7865092754364014,0.00018254915873209635,0.0007123623003231945,-0.0007107257843017578,0.0010325908660888672,0.001743316650390625,0.0010325908660888672,0.0006563663482666016,-0.001743316650390625,3,
The best approach would be,casual_low_emotion,guess,5310,-8.073022842407227,0.0004520416259765625,0.0007164487426168056,-0.00034332275390625,0.0013933181762695312,0.0017366409301757812,0.0013933181762695312,0.0006809234619140625,-0.0017366409301757812,3,
I think that,formal_high_emotion,triumphant,15511,-4.358185768127441,0.00015242894490559897,0.0006903061085951615,-0.0007257461547851562,0.0009608268737792969,0.0016865730285644531,0.0009608268737792969,0.0006362597147623698,-0.0016865730285644531,3,
My opinion on this is,casual_low_emotion,stuff,4269,-4.390328407287598,-0.0002676645914713542,0.0006806626578794173,-0.001129150390625,0.0005350112915039062,0.0016641616821289062,0.001129150390625,0.0006243387858072916,0.0016641616821289062,3,
My opinion on this is,formal_high_emotion,overwhelming,11734,-2.524343252182007,0.00020837783813476562,0.0006651522286204102,-0.0005903244018554688,0.0010380744934082031,0.0016283988952636719,0.0010380744934082031,0.0006019274393717448,-0.0016283988952636719,3,
I think that,formal_high_emotion,magnificent,16773,-6.454354286193848,0.000156402587890625,0.0006558746765846028,-0.00067138671875,0.0009326934814453125,0.0016040802001953125,0.0009326934814453125,0.0006039937337239584,-0.0016040802001953125,3,
The situation is,formal_high_emotion,profoundly,29160,-4.748511791229248,0.00011301040649414062,0.0006538604212062499,-0.0007300376892089844,0.0008635520935058594,0.0015935897827148438,0.0008635520935058594,0.0005997021993001302,-0.0015935897827148438,3,
I think that,formal_low_emotion,accordingly,17159,-7.259634017944336,0.00020090738932291666,0.0006483303737149064,-0.0005855560302734375,0.0010023117065429688,0.0015878677368164062,0.0010023117065429688,0.000591278076171875,-0.0015878677368164062,3,
My opinion on this is,formal_low_emotion,furthermore,2134,1.6190004348754883,-0.00024247169494628906,0.0006154608644194104,-0.001041412353515625,0.00045609474182128906,0.001497507095336914,0.001041412353515625,0.0005465348561604818,0.001497507095336914,3,
The best approach would be,formal_low_emotion,consequently,23995,-8.180360794067383,0.0001452763875325521,0.0006074620101620059,-0.0006465911865234375,0.0008296966552734375,0.001476287841796875,0.0008296966552734375,0.0005763371785481771,-0.001476287841796875,3,
The best approach would be,formal_high_emotion,triumphant,15511,-9.740233421325684,0.0004905064900716146,0.0006439429194505192,-8.487701416015625e-05,0.0013895034790039062,0.0014743804931640625,0.0013895034790039062,0.0005470911661783854,-0.0014743804931640625,3,
I think that,casual_low_emotion,stuff,4269,-4.813152313232422,0.00012540817260742188,0.0006038193283585585,-0.00064849853515625,0.0008249282836914062,0.0014734268188476562,0.0008249282836914062,0.0005577405293782552,-0.0014734268188476562,3,
The best approach would be,casual_high_emotion,absolutely,6270,-4.405916213989258,0.00013462702433268228,0.0005948890044407833,-0.0006399154663085938,0.0008063316345214844,0.0014462471008300781,0.0008063316345214844,0.0005612373352050781,-0.0014462471008300781,3,
My opinion on this is,formal_high_emotion,extraordinary,10035,-6.540251731872559,0.00021282831827799478,0.0005753374871667895,-0.0004611015319824219,0.0009446144104003906,0.0014057159423828125,0.0009446144104003906,0.0005202293395996094,-0.0014057159423828125,3,
The best approach would be,formal_low_emotion,perhaps,4153,-2.6340599060058594,0.0002624193827311198,0.0005654106978029963,-0.00039005279541015625,0.0009889602661132812,0.0013790130615234375,0.0009889602661132812,0.000522454579671224,-0.0013790130615234375,3,
My opinion on this is,casual_low_emotion,okay,10989,2.4675450325012207,0.00012715657552083334,0.0005603086632815659,-0.0005927085876464844,0.0007739067077636719,0.0013666152954101562,0.0007739067077636719,0.0005222956339518229,-0.0013666152954101562,3,
The situation is,formal_low_emotion,perhaps,4153,0.45963501930236816,8.94467035929362e-05,0.0005443794273994882,-0.0006117820739746094,0.0007152557373046875,0.0013270378112792969,0.0007152557373046875,0.0004973014195760092,-0.0013270378112792969,3,
I think that,formal_high_emotion,extraordinary,10035,-4.591492176055908,0.0001414616902669271,0.0005384461199462288,-0.0005278587341308594,0.0007905960083007812,0.0013184547424316406,0.0007905960083007812,0.0004933675130208334,-0.0013184547424316406,3,
The situation is,casual_low_emotion,kinda,21775,-1.6276700496673584,0.00020591417948404947,0.0005390617301271179,-0.0004093647003173828,0.0009033679962158203,0.0013127326965332031,0.0009033679962158203,0.000478823979695638,-0.0013127326965332031,3,
The situation is,formal_high_emotion,triumphant,15511,-6.298599720001221,0.00023158391316731772,0.000513210647480559,-0.000362396240234375,0.0008897781372070312,0.0012521743774414062,0.0008897781372070312,0.00047318140665690106,-0.0012521743774414062,3,
My opinion on this is,formal_high_emotion,triumphant,15511,-7.073696136474609,-0.00017499923706054688,0.0005115795328983782,-0.000827789306640625,0.0004215240478515625,0.0012493133544921875,0.000827789306640625,0.00045601526896158856,0.0012493133544921875,3,
The best approach would be,casual_low_emotion,anyway,8668,-3.9833431243896484,0.0002014636993408203,0.0005071192881645581,-0.0004031658172607422,0.0008378028869628906,0.0012409687042236328,0.0008378028869628906,0.00047024091084798175,-0.0012409687042236328,3,
I think that,casual_high_emotion,honestly,14483,-2.7931108474731445,-0.0002025763193766276,0.0004938834711718032,-0.0008451938629150391,0.00035572052001953125,0.0012009143829345703,0.0008451938629150391,0.00043972333272298175,0.0012009143829345703,3,
The situation is,casual_low_emotion,whatever,5193,-7.154359340667725,0.0002152125040690104,0.000475814729853035,-0.00034427642822265625,0.0008187294006347656,0.0011630058288574219,0.0008187294006347656,0.00044473012288411457,-0.0011630058288574219,3,
The best approach would be,formal_low_emotion,may,754,-5.634313583374023,0.00019137064615885416,0.00045905598596192564,-0.0003533363342285156,0.0007696151733398438,0.0011229515075683594,0.0007696151733398438,0.00042692820231119793,-0.0011229515075683594,3,
