prompt,clamp_value,word_category,word,token_id,logit_value,baseline_logit,logit_difference,baseline_type,formality,emotion
I think that,-4.0,formal_low_emotion,perhaps,4153,0.20591872930526733,0.2058122158050537,0.00010651350021362305,pipeline,formal,low
I think that,-4.0,formal_low_emotion,may,754,-2.803450107574463,-2.8037004470825195,0.0002503395080566406,pipeline,formal,low
I think that,-4.0,formal_low_emotion,however,2480,-3.9156017303466797,-3.915515661239624,-8.606910705566406e-05,pipeline,formal,low
I think that,-4.0,formal_low_emotion,therefore,4320,-4.266939640045166,-4.266677379608154,-0.00026226043701171875,pipeline,formal,low
I think that,-4.0,formal_low_emotion,consequently,23995,-5.01754093170166,-5.0176591873168945,0.000118255615234375,pipeline,formal,low
I think that,-4.0,formal_low_emotion,moreover,541,-2.8414242267608643,-2.8419508934020996,0.0005266666412353516,pipeline,formal,low
I think that,-4.0,formal_low_emotion,accordingly,17159,-7.258631706237793,-7.259634017944336,0.0010023117065429688,pipeline,formal,low
I think that,-4.0,formal_low_emotion,furthermore,2134,-3.0232338905334473,-3.0227437019348145,-0.0004901885986328125,pipeline,formal,low
I think that,-4.0,formal_high_emotion,profoundly,29160,-7.629355430603027,-7.630092144012451,0.0007367134094238281,pipeline,formal,high
I think that,-4.0,formal_high_emotion,devastated,27668,-8.464569091796875,-8.46481704711914,0.000247955322265625,pipeline,formal,high
I think that,-4.0,formal_high_emotion,magnificent,16773,-6.453421592712402,-6.454354286193848,0.0009326934814453125,pipeline,formal,high
I think that,-4.0,formal_high_emotion,appalling,573,-4.782321453094482,-4.783796787261963,0.0014753341674804688,pipeline,formal,high
I think that,-4.0,formal_high_emotion,extraordinary,10035,-4.590701580047607,-4.591492176055908,0.0007905960083007812,pipeline,formal,high
I think that,-4.0,formal_high_emotion,overwhelming,11734,-5.37772274017334,-5.379208087921143,0.0014853477478027344,pipeline,formal,high
I think that,-4.0,formal_high_emotion,catastrophic,24769,-7.234567165374756,-7.234724044799805,0.00015687942504882812,pipeline,formal,high
I think that,-4.0,formal_high_emotion,triumphant,15511,-4.357224941253662,-4.358185768127441,0.0009608268737792969,pipeline,formal,high
