prompt,clamp_value,word_category,word,token_id,logit_value,baseline_logit,logit_difference,baseline_type,formality,emotion
I think that,-15.0,formal_low_emotion,perhaps,4153,0.11823147535324097,0.2058122158050537,-0.08758074045181274,pipeline,formal,low
I think that,-15.0,formal_low_emotion,may,754,-2.8030693531036377,-2.8037004470825195,0.0006310939788818359,pipeline,formal,low
I think that,-15.0,formal_low_emotion,however,2480,-3.478703260421753,-3.915515661239624,0.4368124008178711,pipeline,formal,low
I think that,-15.0,formal_low_emotion,therefore,4320,-4.353999137878418,-4.266677379608154,-0.08732175827026367,pipeline,formal,low
I think that,-15.0,formal_low_emotion,consequently,23995,-4.912906646728516,-5.0176591873168945,0.1047525405883789,pipeline,formal,low
I think that,-15.0,formal_low_emotion,moreover,541,-2.7125484943389893,-2.8419508934020996,0.12940239906311035,pipeline,formal,low
I think that,-15.0,formal_low_emotion,accordingly,17159,-7.0572967529296875,-7.259634017944336,0.20233726501464844,pipeline,formal,low
I think that,-15.0,formal_low_emotion,furthermore,2134,-2.67266845703125,-3.0227437019348145,0.35007524490356445,pipeline,formal,low
I think that,-15.0,formal_high_emotion,profoundly,29160,-7.270627498626709,-7.630092144012451,0.3594646453857422,pipeline,formal,high
I think that,-15.0,formal_high_emotion,devastated,27668,-8.240943908691406,-8.46481704711914,0.22387313842773438,pipeline,formal,high
I think that,-15.0,formal_high_emotion,magnificent,16773,-6.416942596435547,-6.454354286193848,0.03741168975830078,pipeline,formal,high
I think that,-15.0,formal_high_emotion,appalling,573,-4.412609577178955,-4.783796787261963,0.3711872100830078,pipeline,formal,high
I think that,-15.0,formal_high_emotion,extraordinary,10035,-4.433246612548828,-4.591492176055908,0.15824556350708008,pipeline,formal,high
I think that,-15.0,formal_high_emotion,overwhelming,11734,-5.311629772186279,-5.379208087921143,0.06757831573486328,pipeline,formal,high
I think that,-15.0,formal_high_emotion,catastrophic,24769,-7.315158843994141,-7.234724044799805,-0.08043479919433594,pipeline,formal,high
I think that,-15.0,formal_high_emotion,triumphant,15511,-4.209584712982178,-4.358185768127441,0.14860105514526367,pipeline,formal,high
I think that,-15.0,casual_low_emotion,yeah,12191,-5.210051536560059,-5.221872329711914,0.011820793151855469,pipeline,casual,low
I think that,-15.0,casual_low_emotion,okay,10989,-3.981515645980835,-4.08888053894043,0.10736489295959473,pipeline,casual,low
I think that,-15.0,casual_low_emotion,kinda,21775,-3.5878841876983643,-3.7865092754364014,0.1986250877380371,pipeline,casual,low
I think that,-15.0,casual_low_emotion,basically,8087,-4.382016658782959,-4.468190670013428,0.08617401123046875,pipeline,casual,low
I think that,-15.0,casual_low_emotion,anyway,8668,-1.9718401432037354,-1.9663965702056885,-0.005443572998046875,pipeline,casual,low
I think that,-15.0,casual_low_emotion,whatever,5193,-1.1189656257629395,-1.578244686126709,0.45927906036376953,pipeline,casual,low
I think that,-15.0,casual_low_emotion,guess,5310,-8.007747650146484,-7.473904132843018,-0.5338435173034668,pipeline,casual,low
I think that,-15.0,casual_low_emotion,stuff,4269,-4.776456356048584,-4.813152313232422,0.03669595718383789,pipeline,casual,low
I think that,-15.0,casual_high_emotion,OMG,21978,-3.8249778747558594,-4.02517032623291,0.20019245147705078,pipeline,casual,high
I think that,-15.0,casual_high_emotion,totally,7110,-5.057303428649902,-5.0995025634765625,0.042199134826660156,pipeline,casual,high
I think that,-15.0,casual_high_emotion,literally,8642,-3.5449538230895996,-3.7345478534698486,0.18959403038024902,pipeline,casual,high
I think that,-15.0,casual_high_emotion,seriously,7580,-4.916058540344238,-5.117851734161377,0.20179319381713867,pipeline,casual,high
I think that,-15.0,casual_high_emotion,honestly,14483,-3.174283504486084,-2.7931108474731445,-0.38117265701293945,pipeline,casual,high
I think that,-15.0,casual_high_emotion,really,1196,-1.6466635465621948,-1.337662696838379,-0.3090008497238159,pipeline,casual,high
I think that,-15.0,casual_high_emotion,absolutely,6270,-4.819080352783203,-4.670577526092529,-0.14850282669067383,pipeline,casual,high
I think that,-15.0,casual_high_emotion,incredibly,9301,-4.777727127075195,-5.105256080627441,0.3275289535522461,pipeline,casual,high
I think that,4.0,formal_low_emotion,perhaps,4153,0.21739304065704346,0.2058122158050537,0.011580824851989746,pipeline,formal,low
I think that,4.0,formal_low_emotion,may,754,-2.801514148712158,-2.8037004470825195,0.002186298370361328,pipeline,formal,low
I think that,4.0,formal_low_emotion,however,2480,-3.9117298126220703,-3.915515661239624,0.003785848617553711,pipeline,formal,low
I think that,4.0,formal_low_emotion,therefore,4320,-4.253816604614258,-4.266677379608154,0.012860774993896484,pipeline,formal,low
I think that,4.0,formal_low_emotion,consequently,23995,-5.006518363952637,-5.0176591873168945,0.011140823364257812,pipeline,formal,low
I think that,4.0,formal_low_emotion,moreover,541,-2.835294485092163,-2.8419508934020996,0.0066564083099365234,pipeline,formal,low
I think that,4.0,formal_low_emotion,accordingly,17159,-7.246156692504883,-7.259634017944336,0.013477325439453125,pipeline,formal,low
I think that,4.0,formal_low_emotion,furthermore,2134,-3.022810697555542,-3.0227437019348145,-6.699562072753906e-05,pipeline,formal,low
I think that,4.0,formal_high_emotion,profoundly,29160,-7.626692295074463,-7.630092144012451,0.0033998489379882812,pipeline,formal,high
I think that,4.0,formal_high_emotion,devastated,27668,-8.462621688842773,-8.46481704711914,0.0021953582763671875,pipeline,formal,high
I think that,4.0,formal_high_emotion,magnificent,16773,-6.43171501159668,-6.454354286193848,0.02263927459716797,pipeline,formal,high
I think that,4.0,formal_high_emotion,appalling,573,-4.778010368347168,-4.783796787261963,0.005786418914794922,pipeline,formal,high
I think that,4.0,formal_high_emotion,extraordinary,10035,-4.581473350524902,-4.591492176055908,0.01001882553100586,pipeline,formal,high
I think that,4.0,formal_high_emotion,overwhelming,11734,-5.371899604797363,-5.379208087921143,0.007308483123779297,pipeline,formal,high
I think that,4.0,formal_high_emotion,catastrophic,24769,-7.216986656188965,-7.234724044799805,0.017737388610839844,pipeline,formal,high
I think that,4.0,formal_high_emotion,triumphant,15511,-4.343156337738037,-4.358185768127441,0.015029430389404297,pipeline,formal,high
I think that,4.0,casual_low_emotion,yeah,12191,-5.198729515075684,-5.221872329711914,0.02314281463623047,pipeline,casual,low
