word_category,clamp_value,mean_difference,std_difference,median_difference,num_words,num_prompts,total_observations
casual_high_emotion,-15.0,-0.17759687453508377,0.2220258734351725,-0.16986924409866333,8,5,40
casual_high_emotion,1.0,0.0,0.0,0.0,8,5,40
casual_high_emotion,4.0,0.011244009435176849,0.006229123367812663,0.011136412620544434,8,5,80
casual_high_emotion,15.0,0.02511085048317909,0.014304218286792387,0.022740095853805542,8,5,40
casual_low_emotion,-15.0,-0.1298915058374405,0.23629868607764354,-0.1502152681350708,8,5,40
casual_low_emotion,1.0,0.0,0.0,0.0,8,5,40
casual_low_emotion,4.0,0.00912601500749588,0.0067258555672509625,0.00886082649230957,8,5,80
casual_low_emotion,15.0,0.02207496911287308,0.016911043374762402,0.02152884006500244,8,5,40
formal_high_emotion,-15.0,-0.07592048607766629,0.23586520519362716,-0.0908690094947815,8,5,40
formal_high_emotion,1.0,0.0,0.0,0.0,8,5,40
formal_high_emotion,4.0,0.008254651725292207,0.005444733769002309,0.007721424102783203,8,5,80
formal_high_emotion,15.0,0.01802501082420349,0.013379000151122618,0.017223358154296875,8,5,40
formal_low_emotion,-15.0,-0.11464664712548256,0.24701663641130986,-0.10171154141426086,8,5,40
formal_low_emotion,1.0,0.0,0.0,0.0,8,5,40
formal_low_emotion,4.0,0.008451129496097564,0.004846045912168581,0.007759809494018555,8,5,80
formal_low_emotion,15.0,0.022022517025470735,0.01232954035809921,0.022246718406677246,8,5,40
