prompt,clamp_value,word_category,word,token_id,logit_value,target_features
I think that,-15.0,formal_low_emotion,perhaps,4153,0.11823147535324097,[2020]
I think that,-15.0,formal_low_emotion,may,754,-2.8030693531036377,[2020]
I think that,-15.0,formal_low_emotion,however,2480,-3.478703260421753,[2020]
I think that,-15.0,formal_low_emotion,therefore,4320,-4.353999137878418,[2020]
I think that,-15.0,formal_low_emotion,consequently,23995,-4.912906646728516,[2020]
I think that,-15.0,formal_low_emotion,moreover,541,-2.7125484943389893,[2020]
I think that,-15.0,formal_low_emotion,accordingly,17159,-7.0572967529296875,[2020]
I think that,-15.0,formal_low_emotion,furthermore,2134,-2.67266845703125,[2020]
I think that,-15.0,formal_high_emotion,profoundly,29160,-7.270627498626709,[2020]
I think that,-15.0,formal_high_emotion,devastated,27668,-8.240943908691406,[2020]
I think that,-15.0,formal_high_emotion,magnificent,16773,-6.416942596435547,[2020]
I think that,-15.0,formal_high_emotion,appalling,573,-4.412609577178955,[2020]
I think that,-15.0,formal_high_emotion,extraordinary,10035,-4.433246612548828,[2020]
I think that,-15.0,formal_high_emotion,overwhelming,11734,-5.311629772186279,[2020]
I think that,-15.0,formal_high_emotion,catastrophic,24769,-7.315158843994141,[2020]
I think that,-15.0,formal_high_emotion,triumphant,15511,-4.209584712982178,[2020]
I think that,-15.0,casual_low_emotion,yeah,12191,-5.210051536560059,[2020]
I think that,-15.0,casual_low_emotion,okay,10989,-3.981515645980835,[2020]
I think that,-15.0,casual_low_emotion,kinda,21775,-3.5878841876983643,[2020]
I think that,-15.0,casual_low_emotion,basically,8087,-4.382016658782959,[2020]
I think that,-15.0,casual_low_emotion,anyway,8668,-1.9718401432037354,[2020]
I think that,-15.0,casual_low_emotion,whatever,5193,-1.1189656257629395,[2020]
I think that,-15.0,casual_low_emotion,guess,5310,-8.007747650146484,[2020]
I think that,-15.0,casual_low_emotion,stuff,4269,-4.776456356048584,[2020]
I think that,-15.0,casual_high_emotion,OMG,21978,-3.8249778747558594,[2020]
I think that,-15.0,casual_high_emotion,totally,7110,-5.057303428649902,[2020]
