word_category,clamp_value,mean_logit,std_logit,median_logit,num_words,num_prompts,total_observations
casual_high_emotion,-4.0,-2.8993165835738184,3.291790624408892,-3.5491113662719727,8,5,40
casual_high_emotion,0.0,-2.9005175419151783,3.291859378177406,-3.549910068511963,8,5,40
casual_high_emotion,1.0,-2.900820630043745,3.2918818203993974,-3.5501068830490112,8,5,40
casual_high_emotion,4.0,-2.901753406226635,3.291952403706586,-3.5507726669311523,8,5,40
casual_low_emotion,-4.0,-3.8385843515396116,3.105573443873471,-4.033099055290222,8,5,40
casual_low_emotion,0.0,-3.8400453835725785,3.105612156147731,-4.035507917404175,8,5,40
casual_low_emotion,1.0,-3.8404084973037245,3.105621612448076,-4.036111831665039,8,5,40
casual_low_emotion,4.0,-3.8414970368146895,3.105625662463456,-4.0379321575164795,8,5,40
formal_high_emotion,-4.0,-6.24809969291091,3.13499281435999,-6.374579906463623,8,5,40
formal_high_emotion,0.0,-6.249189160764217,3.1348782570843907,-6.376080513000488,8,5,40
formal_high_emotion,1.0,-6.249466924369335,3.134852048170716,-6.376477003097534,8,5,40
formal_high_emotion,4.0,-6.250345412641764,3.134788910993894,-6.377792835235596,8,5,40
formal_low_emotion,-4.0,-3.114819986373186,3.188800017970897,-3.521728038787842,8,5,40
formal_low_emotion,0.0,-3.115844453126192,3.1890150190697444,-3.5216174125671387,8,5,40
formal_low_emotion,1.0,-3.1161057695746424,3.189066212158705,-3.5216017961502075,8,5,40
formal_low_emotion,4.0,-3.1168865978717806,3.189189149997911,-3.5216039419174194,8,5,40
