word_category,clamp_value,effect_size,baseline_logit
casual_high_emotion,-4.0,-1.2111663818092921e-05,-2.9008252494037152
casual_high_emotion,0.0,0.0,-2.9008252494037152
casual_high_emotion,1.0,4.6193599700927734e-06,-2.9008252494037152
casual_high_emotion,4.0,1.71661376953125e-05,-2.9008252494037152
casual_low_emotion,-4.0,-3.6725401878268116e-05,-3.84041647836566
casual_low_emotion,0.0,0.0,-3.84041647836566
casual_low_emotion,1.0,7.981061935335987e-06,-3.84041647836566
casual_low_emotion,4.0,3.0487775802612305e-05,-3.84041647836566
formal_high_emotion,-4.0,-1.3399124145330177e-05,-6.249469833076001
formal_high_emotion,0.0,0.0,-6.249469833076001
formal_high_emotion,1.0,2.9087066657496052e-06,-6.249469833076001
formal_high_emotion,4.0,4.637241364235933e-06,-6.249469833076001
formal_low_emotion,-4.0,-5.841255187988281e-06,-3.1161050722002983
formal_low_emotion,0.0,0.0,-3.1161050722002983
formal_low_emotion,1.0,-6.97374344049706e-07,-3.1161050722002983
formal_low_emotion,4.0,-7.379055023015724e-06,-3.1161050722002983
