prompt,clamp_value,word_category,word,token_id,logit_value,target_features
I think that,-4.0,formal_low_emotion,perhaps,4153,0.20835664868354797,[31]
I think that,-4.0,formal_low_emotion,may,754,-2.8005049228668213,[31]
I think that,-4.0,formal_low_emotion,however,2480,-3.912907123565674,[31]
I think that,-4.0,formal_low_emotion,therefore,4320,-4.262943744659424,[31]
I think that,-4.0,formal_low_emotion,consequently,23995,-5.013620376586914,[31]
I think that,-4.0,formal_low_emotion,moreover,541,-2.8395907878875732,[31]
I think that,-4.0,formal_low_emotion,accordingly,17159,-7.257002830505371,[31]
I think that,-4.0,formal_low_emotion,furthermore,2134,-3.0231785774230957,[31]
I think that,-4.0,formal_high_emotion,profoundly,29160,-7.627025604248047,[31]
I think that,-4.0,formal_high_emotion,devastated,27668,-8.461485862731934,[31]
I think that,-4.0,formal_high_emotion,magnificent,16773,-6.450793266296387,[31]
I think that,-4.0,formal_high_emotion,appalling,573,-4.7815375328063965,[31]
I think that,-4.0,formal_high_emotion,extraordinary,10035,-4.588581085205078,[31]
I think that,-4.0,formal_high_emotion,overwhelming,11734,-5.377222537994385,[31]
I think that,-4.0,formal_high_emotion,catastrophic,24769,-7.232859134674072,[31]
I think that,-4.0,formal_high_emotion,triumphant,15511,-4.35415506362915,[31]
I think that,-4.0,casual_low_emotion,yeah,12191,-5.218319892883301,[31]
I think that,-4.0,casual_low_emotion,okay,10989,-4.084853172302246,[31]
I think that,-4.0,casual_low_emotion,kinda,21775,-3.7841298580169678,[31]
I think that,-4.0,casual_low_emotion,basically,8087,-4.466667175292969,[31]
I think that,-4.0,casual_low_emotion,anyway,8668,-1.9622328281402588,[31]
I think that,-4.0,casual_low_emotion,whatever,5193,-1.576554775238037,[31]
I think that,-4.0,casual_low_emotion,guess,5310,-7.4717512130737305,[31]
I think that,-4.0,casual_low_emotion,stuff,4269,-4.809232711791992,[31]
I think that,-4.0,casual_high_emotion,OMG,21978,-4.020279884338379,[31]
I think that,-4.0,casual_high_emotion,totally,7110,-5.0972442626953125,[31]
I think that,-4.0,casual_high_emotion,literally,8642,-3.7338545322418213,[31]
I think that,-4.0,casual_high_emotion,seriously,7580,-5.116161346435547,[31]
I think that,-4.0,casual_high_emotion,honestly,14483,-2.790099620819092,[31]
I think that,-4.0,casual_high_emotion,really,1196,-1.33454430103302,[31]
I think that,-4.0,casual_high_emotion,absolutely,6270,-4.66765022277832,[31]
I think that,-4.0,casual_high_emotion,incredibly,9301,-5.103267669677734,[31]
I think that,0.0,formal_low_emotion,perhaps,4153,0.20630696415901184,[31]
I think that,0.0,formal_low_emotion,may,754,-2.803056001663208,[31]
I think that,0.0,formal_low_emotion,however,2480,-3.914977550506592,[31]
I think that,0.0,formal_low_emotion,therefore,4320,-4.265963554382324,[31]
I think that,0.0,formal_low_emotion,consequently,23995,-5.016860485076904,[31]
I think that,0.0,formal_low_emotion,moreover,541,-2.8414783477783203,[31]
I think that,0.0,formal_low_emotion,accordingly,17159,-7.259115695953369,[31]
I think that,0.0,formal_low_emotion,furthermore,2134,-3.0228211879730225,[31]
I think that,0.0,formal_high_emotion,profoundly,29160,-7.6294965744018555,[31]
I think that,0.0,formal_high_emotion,devastated,27668,-8.464134216308594,[31]
