prompt,word_category,word,token_id,baseline_logit,mean_logit,std_logit,min_logit,max_logit,range_logit,max_abs_difference_from_baseline,mean_abs_difference_from_baseline,clamping_effect,num_clamp_conditions,target_features
I think that,casual_high_emotion,OMG,21978,-4.024178504943848,-4.0244300365448,0.0027946765108698974,-4.0280914306640625,-4.020279884338379,0.007811546325683594,0.003912925720214844,0.0022008419036865234,-0.007811546325683594,4,[31]
I think that,casual_low_emotion,anyway,8668,-1.9655611515045166,-1.9657948315143585,0.0024138064615977133,-1.9689887762069702,-1.9622328281402588,0.006755948066711426,0.0034276247024536133,0.0018978416919708252,-0.006755948066711426,4,[31]
I think that,casual_low_emotion,okay,10989,-4.0880584716796875,-4.0882887840271,0.0023268627804687043,-4.091362953186035,-4.084853172302246,0.0065097808837890625,0.0033044815063476562,0.0018329620361328125,-0.0065097808837890625,4,[31]
I think that,formal_high_emotion,triumphant,15511,-4.357380390167236,-4.357593774795532,0.002322980341773215,-4.360653877258301,-4.35415506362915,0.006498813629150391,0.003273487091064453,0.0018260478973388672,-0.006498813629150391,4,[31]
I think that,formal_low_emotion,consequently,23995,-5.016860485076904,-5.0170594453811646,0.0023161206060593196,-5.020097732543945,-5.013620376586914,0.00647735595703125,0.0032401084899902344,0.001819014549255371,-0.00647735595703125,4,[31]
I think that,casual_low_emotion,stuff,4269,-4.812361717224121,-4.812564849853516,0.0022460569948514002,-4.815512657165527,-4.809232711791992,0.006279945373535156,0.00315093994140625,0.0017676353454589844,-0.006279945373535156,4,[31]
I think that,formal_high_emotion,magnificent,16773,-6.453613758087158,-6.453866124153137,0.0021091091922567063,-6.456703186035156,-6.450793266296387,0.005909919738769531,0.003089427947998047,0.001662611961364746,-0.005909919738769531,4,[31]
I think that,formal_low_emotion,therefore,4320,-4.265963554382324,-4.266075849533081,0.0020717921674734425,-4.268718719482422,-4.262943744659424,0.005774974822998047,0.0030198097229003906,0.0016222000122070312,-0.005774974822998047,4,[31]
I think that,casual_low_emotion,yeah,12191,-5.221157073974609,-5.221330881118774,0.0020234072680895858,-5.223974227905273,-5.218319892883301,0.005654335021972656,0.0028371810913085938,0.001592397689819336,-0.005654335021972656,4,[31]
I think that,formal_high_emotion,devastated,27668,-8.464134216308594,-8.464380264282227,0.001996164618759358,-8.467083930969238,-8.461485862731934,0.0055980682373046875,0.0029497146606445312,0.0015702247619628906,-0.0055980682373046875,4,[31]
I think that,formal_low_emotion,may,754,-2.803056001663208,-2.8032220602035522,0.001831827712206274,-2.80562686920166,-2.8005049228668213,0.005121946334838867,0.0025708675384521484,0.0014415979385375977,-0.005121946334838867,4,[31]
I think that,casual_high_emotion,really,1196,-1.3370417356491089,-1.3371784090995789,0.0017620863592773058,-1.3394649028778076,-1.33454430103302,0.004920601844787598,0.002497434616088867,0.0013853907585144043,-0.004920601844787598,4,[31]
I think that,formal_high_emotion,extraordinary,10035,-4.590891361236572,-4.591112494468689,0.0017486823442982226,-4.593485355377197,-4.588581085205078,0.004904270172119141,0.002593994140625,0.0013762712478637695,-0.004904270172119141,4,[31]
I think that,casual_high_emotion,honestly,14483,-2.792492628097534,-2.7926732897758484,0.0017475199658839376,-2.794990062713623,-2.790099620819092,0.00489044189453125,0.002497434616088867,0.0013771653175354004,-0.00489044189453125,4,[31]
The best approach would be,formal_low_emotion,may,754,-5.6336894035339355,-5.633856654167175,0.0017463993577838943,-5.636153221130371,-5.631270408630371,0.0048828125,0.002463817596435547,0.0013767480850219727,-0.0048828125,4,[31]
I think that,formal_high_emotion,profoundly,29160,-7.6294965744018555,-7.629618048667908,0.0017303972855707535,-7.631857872009277,-7.627025604248047,0.004832267761230469,0.0024709701538085938,0.001356959342956543,-0.004832267761230469,4,[31]
My opinion on this is,formal_high_emotion,profoundly,29160,-3.5837416648864746,-3.583870828151703,0.0017182154631632941,-3.5861032009124756,-3.581303119659424,0.004800081253051758,0.0024385452270507812,0.0013484358787536621,-0.004800081253051758,4,[31]
